Relative Path,File Type,File Size,In Xcode Project,Target Membership,Build Phase,Static Ref Count,Dynamic Risk,Classification,Confidence
Pure Pets/BirdsCards/Cells/StoriesReusableView.h,source,209,Yes,,,0,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/Cells/StoriesReusableView.m,source,264,Yes,Pure Pets,Sources,0,No,HIGH-CONFIDENCE UNUSED CANDIDATE,High
Pure Pets/BirdsCards/Cells/VideoCollectionViewCell.h,source,317,Yes,,,0,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/Cells/VideoCollectionViewCell.m,source,2089,Yes,Pure Pets,Sources,0,No,HIGH-CONFIDENCE UNUSED CANDIDATE,High
Pure Pets/BirdsCards/Cells/archiveCell.h,source,1142,Yes,,,0,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/Cells/archiveCell.m,source,2290,Yes,Pure Pets,Sources,0,No,HIGH-CONFIDENCE UNUSED CANDIDATE,High
Pure Pets/BirdsCards/Cells/eggDatesCell.h,source,535,Yes,,,14,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/Cells/eggDatesCell.m,source,3017,Yes,Pure Pets,Sources,12,No,,
Pure Pets/BirdsCards/Cells/selectChildCell.h,source,1903,Yes,,,6,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/Cells/selectChildCell.m,source,12360,Yes,Pure Pets,Sources,4,No,,
Pure Pets/BirdsCards/Cells/selectTableViewCell.h,source,614,Yes,,,8,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/Cells/selectTableViewCell.m,source,6026,Yes,Pure Pets,Sources,8,No,,
Pure Pets/BirdsCards/Cells/trashChildCell.h,source,1380,Yes,,,0,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/Cells/trashChildCell.m,source,2997,Yes,Pure Pets,Sources,0,No,HIGH-CONFIDENCE UNUSED CANDIDATE,High
Pure Pets/BirdsCards/Cells/uploadedCollectionViewCell.h,source,466,Yes,,,0,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/Cells/uploadedCollectionViewCell.m,source,798,Yes,Pure Pets,Sources,0,No,HIGH-CONFIDENCE UNUSED CANDIDATE,High
Pure Pets/BirdsCards/CoubleFiles/FirstEggVC.h,source,1703,Yes,,,154,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/CoubleFiles/FirstEggVC.m,source,44699,Yes,Pure Pets,Sources,95,Yes,,
Pure Pets/BirdsCards/CoubleFiles/NewCageVC.h,source,1689,Yes,,,5,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/CoubleFiles/NewCageVC.m,source,40241,Yes,Pure Pets,Sources,5,No,,
Pure Pets/BirdsCards/CoubleFiles/PickerSheetViewController.h,source,1171,Yes,,,316,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/CoubleFiles/PickerSheetViewController.m,source,10258,Yes,Pure Pets,Sources,2,No,,
Pure Pets/BirdsCards/CoubleFiles/selectChildViewController.h,source,961,Yes,,,339,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/CoubleFiles/selectChildViewController.m,source,47084,Yes,Pure Pets,Sources,9,Yes,,
Pure Pets/BirdsCards/DoneStepViewController.h,source,1534,No,,,0,No,,
Pure Pets/BirdsCards/DoneStepViewController.m,source,8589,No,,,0,No,,
Pure Pets/BirdsCards/FullScreenVideoViewController.h,source,190,Yes,,,0,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/FullScreenVideoViewController.m,source,8533,Yes,Pure Pets,Sources,0,No,HIGH-CONFIDENCE UNUSED CANDIDATE,High
Pure Pets/BirdsCards/FullscreenImageViewController.h,source,292,Yes,,,4,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/FullscreenImageViewController.m,source,6419,Yes,Pure Pets,Sources,4,No,,
